"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"DOCK32",9.7983148623242e-37,0.351616327423019,0.933,0.864,1.61495825560828e-32,"7","DOCK3"
"FYN2",2.03172823268484e-36,0.284116612776699,0.951,0.864,3.34869447311115e-32,"7","FYN"
"PHTF22",4.35515885356188e-36,0.302559070359415,0.651,0.466,7.1781728224407e-32,"7","PHTF2"
"TLE31",5.5170878869218e-36,0.283022856780435,0.401,0.245,9.0932642552245e-32,"7","TLE3"
"FXYD51",8.25312354804679e-36,0.288569899754462,0.784,0.616,1.36027982318907e-31,"7","FXYD5"
"NOTCH2",1.51923625093234e-35,0.334613626712285,0.492,0.331,2.50400518878668e-31,"7","NOTCH2"
"FER",2.62401498885167e-35,0.420808620641886,0.453,0.302,4.32490150462532e-31,"7","FER"
"NID22",6.76995763090806e-35,0.288393410290446,0.484,0.317,1.11582441672627e-30,"7","NID2"
"CYBA",7.9623030473823e-35,0.308703769564543,0.745,0.58,1.31234678826955e-30,"7","CYBA"
"CD442",2.36528668534684e-34,0.3069192495113,0.887,0.752,3.89846551478866e-30,"7","CD44"
"PICALM",5.59252047472548e-34,0.345277676092209,0.765,0.628,9.21759224644253e-30,"7","PICALM"
"LYST1",1.6666238067934e-33,0.303220871604811,0.86,0.714,2.74692935835688e-29,"7","LYST"
"TNIK",4.99301280641207e-33,0.26702642295037,0.966,0.92,8.22948370752838e-29,"7","TNIK"
"SELENOW1",6.25324712912334e-33,0.251168335037176,0.943,0.853,1.03066019182211e-28,"7","SELENOW"
"SPPL3",6.47414232373743e-33,0.333475272685403,0.682,0.528,1.0670681377984e-28,"7","SPPL3"
"ZDHHC20",6.69923048265836e-33,0.28616775692421,0.753,0.582,1.10416716815175e-28,"7","ZDHHC20"
"ARPC1B",8.31762131088706e-33,0.262761690778755,0.912,0.811,1.37091034446041e-28,"7","ARPC1B"
"GRK5",1.07965572178131e-32,0.353233846629049,0.755,0.606,1.77948856063995e-28,"7","GRK5"
"UVRAG",1.08459203700523e-32,0.33803251962063,0.76,0.625,1.78762459539203e-28,"7","UVRAG"
"SLA",1.17942997075488e-32,0.299521068090695,0.677,0.52,1.94393647779819e-28,"7","SLA"
"MBD2",2.00422483572366e-32,0.304570157790363,0.571,0.401,3.30336337423974e-28,"7","MBD2"
"CPD1",2.64045914231672e-32,0.265961241190119,0.489,0.327,4.35200475836642e-28,"7","CPD"
"ANKRD12",3.23750827893225e-32,0.288039465906204,0.929,0.841,5.33606114533614e-28,"7","ANKRD12"
"DBI",3.34403825104751e-32,0.287917065056869,0.792,0.633,5.51164384537651e-28,"7","DBI"
"PPP3CA2",6.43789617006552e-32,0.359101695332401,0.65,0.49,1.0610940467502e-27,"7","PPP3CA"
"NUP93",7.93790584320658e-32,0.286103457904097,0.443,0.29,1.30832564107731e-27,"7","NUP93"
"PDE7A1",8.57263341362833e-32,0.339574166724694,0.617,0.466,1.41294143923422e-27,"7","PDE7A"
"MPP5",1.02636489795936e-31,0.278151000003287,0.324,0.195,1.69165462481662e-27,"7","MPP5"
"SPECC11",1.3448585751645e-31,0.327019382214682,0.396,0.255,2.21659590358614e-27,"7","SPECC1"
"M6PR1",2.28647806455494e-31,0.270673300968762,0.598,0.437,3.76857314599946e-27,"7","M6PR"
"EXOC6B1",3.18550506704738e-31,0.300215894881132,0.822,0.703,5.2503494515075e-27,"7","EXOC6B"
"GYPC",4.02458939825451e-31,0.293991817480201,0.58,0.415,6.63332824620309e-27,"7","GYPC"
"GNA131",4.45241341738746e-31,0.301087933420215,0.432,0.286,7.33846779453802e-27,"7","GNA13"
"CDADC12",4.48375748340822e-31,0.251257827765863,0.819,0.676,7.39012908415343e-27,"7","CDADC1"
"TGFB1",5.26206056719699e-31,0.28180757040696,0.623,0.457,8.67292822685408e-27,"7","TGFB1"
"ZAP70",6.76213151333532e-31,0.265301020027092,0.515,0.354,1.11453451602793e-26,"7","ZAP70"
"RUNX1",2.66521949804267e-30,0.329355124464703,0.949,0.899,4.39281477667392e-26,"7","RUNX1"
"FNIP23",6.14953251892817e-30,0.304150494866116,0.538,0.379,1.01356594976974e-25,"7","FNIP2"
"TMCO3",6.25417688273431e-30,0.255804446082947,0.432,0.282,1.03081343381227e-25,"7","TMCO3"
"RAP1GDS1",1.20242970059601e-29,0.295475876939435,0.702,0.548,1.98184463252235e-25,"7","RAP1GDS1"
"PHF21A1",4.01478510207222e-29,0.333909244181928,0.58,0.423,6.61716880523543e-25,"7","PHF21A"
"GTDC12",4.37296753589959e-29,0.362908922711001,0.607,0.459,7.2075250926697e-25,"7","GTDC1"
"RGS191",4.84216561693561e-29,0.251669015969253,0.608,0.45,7.98085736983327e-25,"7","RGS19"
"HACE1",5.19706458295138e-29,0.307672383879499,0.541,0.391,8.56580184562047e-25,"7","HACE1"
"BMP2K",5.39295215480174e-29,0.298048398490925,0.522,0.365,8.88866374154422e-25,"7","BMP2K"
"MAP7D3",8.50820233093835e-29,0.257834305697472,0.495,0.34,1.40232190818526e-24,"7","MAP7D3"
"STIM21",1.81998593493942e-28,0.251759282211613,0.567,0.406,2.99970081796715e-24,"7","STIM2"
"USP151",3.93336523478569e-28,0.270386044616187,0.863,0.734,6.48297257997378e-24,"7","USP15"
"NR3C1",9.04678728853823e-28,0.274713617237744,0.78,0.633,1.49109148089687e-23,"7","NR3C1"
"IDE",1.30440576142981e-27,0.252957150054939,0.383,0.249,2.14992157598862e-23,"7","IDE"
"EIF4E31",1.80371884605826e-27,0.297694971692902,0.495,0.351,2.97288940207322e-23,"7","EIF4E3"
"ZNF800",2.10271240231111e-27,0.262903618646292,0.663,0.517,3.46569058148917e-23,"7","ZNF800"
"RFX7",6.54030079847685e-27,0.34965436958741,0.628,0.494,1.07797237760495e-22,"7","RFX7"
