"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSCAFG00000032728",2.3341028375126e-215,-1.67086696155241,0.021,0.58,3.35363895693811e-211
"TRMT112",3.64133864359559e-215,-1.46807762814682,0.046,0.622,5.23187536311814e-211
"ITGB1",3.47707132707465e-214,2.55607646203123,0.679,0.415,4.99585608274086e-210
"APRT",6.68677654951302e-213,-1.58298350057513,0.029,0.592,9.6075605463403e-209
"B2M",1.43729705813814e-212,0.946930689271371,0.986,0.993,2.06510841313288e-208
"CELF2",3.85792406702768e-212,-1.61450646998557,0.05,0.622,5.54306529950537e-208
"CFL1",1.97265035289655e-209,1.45885962191925,0.875,0.938,2.83430402704176e-205
"ENSCAFG00000048619",3.09050507709571e-208,-1.18428242355091,0.59,0.937,4.44043769477111e-204
"ARPC2",5.73723857149508e-208,-1.36510733082943,0.143,0.768,8.24326437952414e-204
"RGS19",1.08082282479519e-206,-2.06178743953603,0.036,0.585,1.55292623466573e-202
"CIRBP",1.62883214182929e-206,-1.69042417366682,0.02,0.566,2.34030602138033e-202
"ENSCAFG00000039767",1.98625014019613e-206,-1.47394201171889,0.047,0.611,2.85384420143379e-202
"CORO1B",3.56274010421246e-205,-1.84138428051848,0.106,0.679,5.11894498173246e-201
"SEC61G",1.00974282037567e-204,-1.15859070238382,0.097,0.691,1.45079848431576e-200
"ENSCAFG00000006485",1.01721687303064e-204,-2.76102879538438,0.031,0.567,1.46153720317042e-200
"RCSD1",1.78426216831603e-204,-1.62850477663966,0.028,0.573,2.56362788343647e-200
"SF3B1",2.0343301765424e-204,-1.34746063669692,0.052,0.62,2.92292559765612e-200
"LTB",9.54197628006037e-204,-2.7445682802572,0.05,0.589,1.37099115191907e-199
"RPL21",1.09786263797081e-203,-0.975894659088855,0.755,0.943,1.57740903823645e-199
"RPL22",1.13539852516856e-203,-1.19760066529029,0.483,0.905,1.63134060096219e-199
"HNRNPM",1.34752371450309e-203,-1.45772485505331,0.041,0.598,1.93612207299804e-199
"RPL12",1.79282742748489e-203,-1.07487648957798,0.747,0.921,2.57593444781029e-199
"ATP5PB",3.40612037914668e-201,-1.37118764939635,0.037,0.583,4.89391376075795e-197
"PAK2",3.83468095723515e-201,-1.52508975777614,0.037,0.586,5.50966959935547e-197
"TRA2B",3.73646479277877e-200,-1.51243164449333,0.035,0.581,5.36855261426453e-196
"DBI",7.09459363104105e-199,-1.40029777981463,0.079,0.651,1.01935121290798e-194
"GSTO1",9.00280783643906e-199,-1.48868041148228,0.025,0.562,1.29352342993956e-194
"BCL2A1",3.26878153645884e-198,-2.1632272441195,0.055,0.595,4.69658531158407e-194
"C9H17orf64",1.10383781993421e-195,1.56280825182519,0.634,0.286,1.58599417968147e-191
"NME2",2.17910390371627e-195,-1.10242151157281,0.158,0.785,3.13093648885954e-191
"PSME1",3.25048352744622e-195,-1.30739936488768,0.052,0.6,4.67029473223473e-191
"ATG3",3.99271401190772e-195,2.39839906726758,0.699,0.483,5.73673149230902e-191
"RPS15",2.53206365403574e-194,-1.23470175904283,0.338,0.9,3.63806905811855e-190
"EDF1",2.75225440099421e-194,-1.23967468844296,0.061,0.613,3.95443912334849e-190
"CD3E",6.30845408736592e-194,-2.59409310311257,0.033,0.553,9.06398683272736e-190
"RACK1",5.65077037198934e-193,-1.23005526693832,0.224,0.839,8.11902687047429e-189
"EIF3M",1.07735879301344e-192,-1.39884342245498,0.045,0.582,1.54794911380171e-188
"BTF3",1.38037671305949e-192,-1.18089378434227,0.275,0.886,1.98332526132388e-188
"ADD3",1.2072898083731e-191,-1.63792032527063,0.015,0.531,1.73463399667047e-187
"ENSCAFG00000032392",1.48935776704388e-191,-1.28634903401444,0.141,0.734,2.13990923968865e-187
"ERH",2.41466667020891e-191,-1.40418855837461,0.025,0.549,3.46939307175616e-187
"ENSCAFG00000047391",1.74436618043644e-190,-1.06749224807105,0.115,0.698,2.50630532805107e-186
"ENSCAFG00000019044",6.25904127002669e-190,-0.90304847431777,0.849,0.944,8.99299049677435e-186
"COQ10B",1.5550888339262e-188,-1.22536048355759,0.13,0.719,2.23435163658517e-184
"SNRPD1",1.642595063915e-188,-1.43818907011931,0.028,0.55,2.36008058783308e-184
"CD3D",5.96353962839537e-188,-2.17828891577635,0.025,0.533,8.56841373807847e-184
"PRDX1",6.59329371125948e-188,-1.392088382836,0.04,0.569,9.47324440433762e-184
"VDAC3",5.65645911879096e-186,2.70262062792074,0.6,0.331,8.12720046187885e-182
"NCOR1",7.74522869960526e-186,-1.20228493559301,0.067,0.608,1.11283445955928e-181
"SEM1",1.09155531204349e-185,-1.22083028117123,0.053,0.591,1.56834667234409e-181
"ENSCAFG00000006545",9.27084224933644e-185,-1.20965320069203,0.055,0.59,1.33203461438466e-180
"SP100",1.84131398184241e-184,-1.45686864376496,0.032,0.548,2.64559992911117e-180
"RWDD1",5.55593115685619e-182,-1.44682002163492,0.028,0.538,7.98276188617097e-178
"RBM39",1.24669887642735e-181,-1.14694729633899,0.062,0.599,1.79125694565082e-177
"ENSCAFG00000013366",2.31680546484042e-181,-1.05349234412276,0.072,0.619,3.32878609188272e-177
"ATRX",2.03651461339473e-179,-1.67927965983226,0.022,0.524,2.92606419652555e-175
"RTF1",2.6569145583039e-179,-1.42227955382003,0.02,0.52,3.81745483737104e-175
"RPL22L1",3.08364024217672e-177,-1.49577698836785,0.023,0.519,4.43057429995951e-173
"TXNDC17",3.53290132917908e-177,-1.16118781171049,0.073,0.607,5.0760726297645e-173
"RPS5",1.6140325789551e-176,-0.991767278721258,0.686,0.92,2.31904200944268e-172
"ENSCAFG00000044475",3.82096958118899e-176,-1.02295984829939,0.079,0.61,5.48996909425234e-172
