"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SECISBP2L",8.62230891099042e-09,0.252900584043356,0.499,0.376,0.000142112895470944,"5","SECISBP2L"
"HELZ",8.67771919665085e-09,0.256646415585124,0.599,0.478,0.000143026167799199,"5","HELZ"
"FAF1",1.01335148071389e-08,0.25015295381947,0.802,0.707,0.000167020591051264,"5","FAF1"
"LPGAT11",1.52696599473459e-08,0.288101719185191,0.327,0.23,0.000251674535252155,"5","LPGAT1"
"TTC13",1.70225683498573e-08,0.256418977993734,0.279,0.185,0.000280565971542348,"5","TTC13"
"RANBP9",2.00617682271046e-08,0.258637768485346,0.474,0.357,0.000330658063919138,"5","RANBP9"
"DYRK1A",5.3618295671464e-08,0.252206654641879,0.701,0.589,0.000883736749257069,"5","DYRK1A"
"ADAM10",5.38291479765605e-08,0.252577811115746,0.394,0.288,0.00088721201694967,"5","ADAM10"
"PHKA1",7.87808306662256e-08,0.262240106479282,0.379,0.274,0.00129846565104073,"5","PHKA1"
"FKBP5",1.77647361804914e-07,0.291994591234481,0.321,0.228,0.00292798381726859,"5","FKBP5"
"TTC37",2.76003146340513e-07,0.259677664932869,0.398,0.297,0.00454908385798433,"5","TTC37"
"MYO1E1",5.32462826068452e-07,0.326103082523505,0.553,0.453,0.00877605229926023,"5","MYO1E"
"IGKC",1.3884964034786e-175,0.922536334635193,0.514,0.106,2.28851977221342e-171,"6","IGKC"
"PARP81",1.68181967818744e-167,1.63974905020529,0.889,0.424,2.77197519358853e-163,"6","PARP8"
"CRACDL",3.35230430599229e-139,1.0528175740264,0.374,0.067,5.52526795713649e-135,"6","CRACDL"
"F81",2.07349920621872e-120,1.04274492747261,0.344,0.063,3.4175413916897e-116,"6","F8"
"ANKRD55",1.77173939751756e-100,1.24383469722553,0.348,0.08,2.92018087498844e-96,"6","ANKRD55"
"RASGRF2",2.24019617497883e-84,0.992814743913566,0.313,0.073,3.69229133560011e-80,"6","RASGRF2"
"RBM471",1.36299898842254e-76,0.855059784640047,0.503,0.181,2.24649493271804e-72,"6","RBM47"
"BCAR3",1.42901426303693e-73,0.821749621135739,0.375,0.111,2.35530130833746e-69,"6","BCAR3"
"CBLB2",4.01274837825497e-61,0.872815084911316,0.756,0.474,6.61381187703984e-57,"6","CBLB"
"TULP4",2.80399138085378e-58,0.7053848507072,0.356,0.123,4.6215385939232e-54,"6","TULP4"
"FGD41",2.21860913039439e-56,0.722096406606716,0.277,0.081,3.65671156871603e-52,"6","FGD4"
"TBC1D92",1.13927675155306e-51,0.782284504818058,0.794,0.538,1.87775594190975e-47,"6","TBC1D9"
"CFAP46",4.74352389540297e-50,0.765455269581939,0.529,0.255,7.81827608440317e-46,"6","CFAP46"
"IL2RA",1.87593005038338e-49,0.638167539870114,0.322,0.109,3.09190790904188e-45,"6","IL2RA"
"ZEB21",1.19424331469589e-48,0.814423768154122,0.611,0.336,1.96835183128177e-44,"6","ZEB2"
"ODC1",2.99271811721009e-45,0.494672557436409,0.995,0.981,4.93259800078567e-41,"6","ODC1"
"VCL1",2.33912898114553e-44,0.728668028435784,0.355,0.145,3.85535238672406e-40,"6","VCL"
"SNX181",3.93143664032904e-41,0.68702867298134,0.721,0.493,6.47979387059032e-37,"6","SNX18"
"NAP1L1",3.33955372402731e-38,0.536961139454453,0.888,0.779,5.50425244794182e-34,"6","NAP1L1"
"BCL23",2.75099253241123e-36,0.520897858745175,0.991,0.82,4.53418589192019e-32,"6","BCL2"
"SAMD4A",3.95610193479588e-35,0.669378398757988,0.313,0.128,6.52044720893058e-31,"6","SAMD4A"
"STK17B",4.13096643405319e-33,0.571230155774812,0.787,0.615,6.80865887660647e-29,"6","STK17B"
"LRMDA",5.19494935491224e-33,0.749834645172375,0.292,0.12,8.56231552676635e-29,"6","LRMDA"
"CACNB23",2.71233123162881e-32,0.973291084777256,0.453,0.241,4.47046433597061e-28,"6","CACNB2"
"SYK1",5.59314562401379e-32,0.502839989087069,0.877,0.795,9.21862261749952e-28,"6","SYK"
"AHR",4.78336638830755e-31,0.58360741811067,0.268,0.112,7.88394448120851e-27,"6","AHR"
"MYO1E2",1.31631565061146e-28,0.595866814427938,0.654,0.445,2.16955145533782e-24,"6","MYO1E"
"RBPJ1",2.69774934991478e-28,0.654559543896027,0.751,0.587,4.44643047852954e-24,"6","RBPJ"
